DATA;GODZINA;MODUL;RODZAJ ZAJEC;SALA;PROWADZACY
04/03/2017;14:40 - 16:10;Język angielski;ćw;19;mgr Ewa Kurka
;16:30 - 18:00;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
;18:10 - 19:40;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
05/03/2017;08:00 - 8:45;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;08:55 - 10:25;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;10:40 - 12:10;Podstawy elektroniki i miernictwa;W;Aula ŚTZN;dr Ireneusz Gościniak
;12:25 - 13:55;Podstawy elektroniki i miernictwa;W;Aula ŚTZN;dr Ireneusz Gościniak
;;;;;
;14:40 - 16:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;16:25 - 17:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;18:10 - 19:40;Sieciowe systemy operacyjne;ćw;244;mgr inż. Jarosław Brodziak
17-19.03.2017;;;;;
17/03/2017;16:00 - 17:30;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;17:40 - 18:25;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;18:35 - 19:20;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
;19:30 - 21:00;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
18/03/2017;14:40 - 16:10;Inżynieria oprogramowania;W;Aula ŚTZN;dr inż. Krystian Gembala
;16:25 - 17:55;Inżynieria oprogramowania;W;Aula ŚTZN;dr inż. Krystian Gembala
;18:10 - 19:40;Fizyka;W;Aula ŚTZN;dr Marian Pawełczyk
;19:50 - 20:35;Fizyka;W;Aula ŚTZN;dr Marian Pawełczyk
19/03/2017;08:00 - 8:45;Podstawy elektroniki i miernictwa;lab;PN 4p;dr inż. Tomasz Rudnicki
;08:55 - 10:25;Podstawy elektroniki i miernictwa;lab;PN 4p;dr inż. Tomasz Rudnicki
;10:40 - 12:10;Język angielski;ćw;19;mgr Ewa Kurka
;12:25 - 13:55;Język angielski;ćw;19;mgr Ewa Kurka
;;;;;
;14:40 - 16:10;Sieciowe systemy operacyjne;lab;PN 4p;mgr inż. Jarosław Brodziak
;16:25 - 17:55;Sieciowe systemy operacyjne;lab;PN 4p;mgr inż. Jarosław Brodziak
;18:10 - 19:40;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
31.03-02.04.2017;;;;;
31/03/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;18:35 - 19:20;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;19:30 - 21:00;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
01/04/2017;08:55 - 10:25;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;10:40 - 12:10;Systemy wbudowane;lab;PN 3p;dr inż. Tomasz Rudnicki
;12:25 - 13:55;Systemy wbudowane;lab;PN 3p;dr inż. Tomasz Rudnicki
;;;;;
;14:40 - 16:10;Fizyka;ćw;20;dr Joanna Studnik
;16:25 - 17:55;Język angielski;ćw;20;mgr Ewa Kurka
;18:10 - 19:40;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
02/04/2017;08:00 - 8:45;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
;08:55 - 10:25;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
;10:40 - 12:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;12:25 - 13:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;;;;;
;14:40 - 16:10;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
;16:25 - 17:55;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
21-23.04.2017;;;;;
21/04/2017;16:00 - 17:30;Systemy wbudowane;W;Aula WSTI;dr inż. Tomasz Rudnicki
;17:40 - 18:25;Systemy wbudowane;W;Aula WSTI;dr inż. Tomasz Rudnicki
;18:35 - 19:20;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
;19:30 - 21:00;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
22/04/2017;08:55 - 10:25;Sieciowe systemy operacyjne;W;Aula ŚTZN;dr inż. Stefan Senczyna
;10:40 - 12:10;Inżynieria oprogramowania;W;Aula ŚTZN;dr inż. Krystian Gembala
;12:25 - 13:55;Inżynieria oprogramowania;W;Aula ŚTZN;dr inż. Krystian Gembala
;;;;;
;14:40 - 16:10;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
;16:25 - 17:55;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
;18:10 - 19:40;Fizyka;W;Aula ŚTZN;dr Marian Pawełczyk
;19:50 - 20:35;Fizyka;W;Aula ŚTZN;dr Marian Pawełczyk
23/04/2017;08:00 - 8:45;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
;08:55 - 10:25;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
05-07.05.2017;;;;;
05/05/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
06/05/2017;08:00 - 8:45;Systemy wbudowane;W;Aula WSTI;dr inż. Tomasz Rudnicki
;08:55 - 10:25;Systemy wbudowane;W;Aula WSTI;dr inż. Tomasz Rudnicki
;10:40 - 12:10;Języki obiektowe;W;Aula WSTI;dr hab. inż. Mariusz Boryczka
;12:25 - 13:55;Fizyka;W;Aula WSTI;dr Marian Pawełczyk
;;;;;
;14:40 - 16:10;Fizyka;W;Aula WSTI;dr Marian Pawełczyk
;16:25 - 17:55;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
;18:10 - 19:40;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
07/05/2017;10:40 - 12:10;Sieciowe systemy operacyjne;lab;244;mgr inż. Jarosław Brodziak
;12:25 - 13:55;Sieciowe systemy operacyjne;lab;244;mgr inż. Jarosław Brodziak
;14:40 - 16:10;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
;16:25 - 17:55;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
19-21.05.2017;;;;;
19/05/2017;16:00 - 17:30;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;17:40 - 18:25;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;18:35 - 19:20;Języki obiektowe;W;Aula WSTI;dr hab. inż. Mariusz Boryczka
;19:30 - 21:00;Języki obiektowe;W;Aula WSTI;dr hab. inż. Mariusz Boryczka
20/05/2017;08:55 - 10:25;Fizyka;ćw;19;dr Joanna Studnik
;10:40 - 12:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;12:25 - 13:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;;;;;
;14:40 - 16:10;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;16:25 - 17:55;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;18:10 - 19:40;Podstawy elektroniki i miernictwa;ćw;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Podstawy elektroniki i miernictwa;ćw;41;dr inż. Tomasz Rudnicki
21/05/2017;08:00 - 8:45;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
;08:55 - 10:25;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
;10:40 - 12:10;Język angielski;ćw;19;mgr Ewa Kurka
;12:25 - 13:55;Język angielski;ćw;19;mgr Ewa Kurka
;;;;;
;14:40 - 16:10;Inżynieria oprogramowania;lab;PN 4p;dr inż. Krystian Gembala
;16:25 - 17:55;Inżynieria oprogramowania;lab;PN 4p;dr inż. Krystian Gembala
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
02-03.06.2017;;;;;
02/06/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;18:35 - 19:20;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
;19:30 - 21:00;Inżynieria oprogramowania;lab;163a;dr inż. Krystian Gembala
03/06/2017;08:55 - 10:25;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
;10:40 - 12:10;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;12:25 - 13:55;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;;;;;
;14:40 - 16:10;Fizyka;ćw;19;dr Joanna Studnik
;16:25 - 17:55;Fizyka;ćw;19;dr Joanna Studnik
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
16-18.06.2017;;;;;
16/06/2017;16:00 - 17:30;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;17:40 - 18:25;Systemy wbudowane;W;Aula ŚTZN;dr inż. Tomasz Rudnicki
;18:35 - 19:20;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
;19:30 - 21:00;Języki obiektowe;W;Aula ŚTZN;dr hab. inż. Mariusz Boryczka
17/06/2017;08:00 - 8:45;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;08:55 - 10:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;10:40 - 12:10;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
;12:25 - 13:55;Podstawy elektroniki i miernictwa;lab;41;dr inż. Tomasz Rudnicki
;;;;;
;14:40 - 16:10;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;16:25 - 17:55;Sieciowe systemy operacyjne;lab;PN 4p;mgr inż. Jarosław Brodziak
18/06/2017;08:55 - 10:25;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;10:40 - 12:10;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;12:25 - 13:55;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;;;;;
;14:40 - 16:10;Język angielski;ćw;20;mgr Ewa Kurka
;16:25 - 17:55;Język angielski;ćw;20;mgr Ewa Kurka
;18:10 - 19:40;Systemy wbudowane;lab;PN 4p;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;PN 4p;dr inż. Tomasz Rudnicki
30.06-02.07.2017;;;;;
30/06/2017;16:00 - 17:30;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;17:40 - 18:25;Fizyka;lab;PD 4p;dr hab. Zbigniew Stokłosa
;18:35 - 19:20;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
;19:30 - 21:00;Inżynieria oprogramowania;lab;41;dr inż. Krystian Gembala
01/07/2017;12:25 - 13:55;Fizyka;ćw;19;dr Joanna Studnik
;;;;;
;14:40 - 16:10;Język angielski;ćw;19;mgr Ewa Kurka
;16:25 - 17:55;Język angielski;ćw;19;mgr Ewa Kurka
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
02/07/2017;10:40 - 12:10;Podstawy elektroniki i miernictwa;lab;PN 3p;dr inż. Tomasz Rudnicki
;12:25 - 13:55;Podstawy elektroniki i miernictwa;lab;PN 3p;dr inż. Tomasz Rudnicki
;;;;;
;14:40 - 16:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;16:25 - 17:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;;;;;

